start,end,script
00:01:10.320,00:01:12.280,You were inside for nearly four months.
00:01:13.281,00:01:14.741,I don't remember eating.
00:01:17.952,00:01:19.913,How long did you think you were inside?
00:01:22.415,00:01:23.249,Days.
00:01:24.667,00:01:25.794,Maybe weeks.
00:01:29.756,00:01:31.466,What happened to Josie Radek?
00:01:40.433,00:01:42.268,-I don't know. -What about Sheppard?
00:01:43.436,00:01:44.270,Thorensen?
00:01:48.316,00:01:49.150,Dead.
00:01:49.776,00:01:50.693,Ventress?
00:01:56.074,00:01:56.950,I don't know.
00:01:58.785,00:02:00.161,Then what do you know?
00:03:00.597,00:03:04.475,"Like all cells, it is born from an existing cell."
00:03:05.310,00:03:09.856,"And by extension, all cells were ultimately born from one cell."
00:03:10.857,00:03:16.070,"A single organism alone on planet Earth, perhaps alone in the universe."
00:03:16.696,00:03:18.531,About four billion years ago...
00:03:19.824,00:03:21.951,"one became two, two became four."
00:03:22.994,00:03:25.914,"Then eight, 16, 32."
00:03:26.831,00:03:28.917,The rhythm of the dividing pair...
00:03:30.043,00:03:37.300,"which becomes the structure of every microbe, blade of grass, sea creature, land creature..."
00:03:38.009,00:03:38.885,and human.
00:03:39.302,00:03:42.013,The structure of everything that lives...
00:03:42.931,00:03:45.308,and everything that dies.
00:03:45.892,00:03:50.939,"As students of medicine, as the doctors of tomorrow, this is where you come in."
00:03:52.023,00:03:55.735,The cell we're looking at is from a tumor.
00:03:55.985,00:03:59.405,"Female patient, early 30s, taken from the cervix."
00:03:59.781,00:04:06.162,"Over the course of the next term, we will be closely examining cancer cells in vitro and discussing autophagic activity."
00:04:11.501,00:04:13.294,I still feel like I'm not working hard enough.
00:04:13.378,00:04:14.921,I'm behind the other students.
00:04:17.757,00:04:18.800,-Okay? -Lena!
00:04:21.135,00:04:21.970,Dan.
00:04:26.516,00:04:28.017,I've been catching up on some writing.
00:04:28.101,00:04:31.312,"All work and no play, it sounds... not healthy."
00:04:33.273,00:04:39.487,"I wanted to ask, Sarah and I have a few people over."
00:04:39.988,00:04:41.906,A garden party while the weather holds.
00:04:43.658,00:04:45.201,"Actually, I do have plans."
00:04:45.660,00:04:46.828,I think it'll be fun.
00:04:46.911,00:04:51.624,"Thanks, Dan, I really appreciate it, but I'm going to paint our bedr-- The bedroom."
00:04:54.836,00:04:55.920,"It's been a year, Lena."
00:04:59.173,00:05:04.595,You're allowed to come to a barbecue. It is not a betrayal or an insult to his memory.
00:05:07.515,00:05:09.142,I'm gonna paint the bedroom.
00:07:05.967,00:07:06.801,Oh!
00:07:26.237,00:07:27.071,Kane?
00:07:48.718,00:07:50.636,No one knew anything about your unit.
00:07:50.720,00:07:52.138,I contacted everyone.
00:07:52.680,00:07:53.764,Everyone I could.
00:07:54.390,00:07:56.642,The other partners knew just as little as me.
00:08:02.273,00:08:03.357,Was it covert?
00:08:05.735,00:08:07.445,Mm... Maybe.
00:08:08.154,00:08:10.198,"What does that mean, maybe?"
00:08:12.492,00:08:15.286,"Okay, yeah, it was covert. Yeah, I think so."
00:08:15.745,00:08:16.913,Pakistan again?
00:08:18.998,00:08:23.085,"I-- I don't know where it was, or..."
00:08:25.755,00:08:26.589,what it was.
00:08:31.135,00:08:31.969,Was there snow?
00:08:32.512,00:08:37.016,"Did the people there speak Portuguese, or Swahili, or Pashto?"
00:08:41.729,00:08:43.272,How long have you been back?
00:08:44.357,00:08:45.233,I don't know.
00:08:45.316,00:08:47.693,How'd you get back? What base did you fly into?
00:08:49.612,00:08:52.740,"-I don't know. -Your unit, did they come back with you?"
00:08:55.785,00:08:57.828,You must be able to tell me something.
00:08:58.871,00:09:01.541,You vanished off the face of the earth for 12 months.
00:09:02.208,00:09:04.252,I deserve a better explanation than no explanation.
00:09:04.335,00:09:05.419,Does it matter?
00:09:31.070,00:09:32.488,how did you get home?
00:09:33.948,00:09:34.782,Hmm?
00:09:36.409,00:09:37.535,I was outside.
00:09:39.161,00:09:40.413,Outside the house?
00:09:41.872,00:09:42.707,No.
