start,end,script
00:01:08.527,00:01:10.029,"Valhalla, this is Thor."
00:01:10.111,00:01:12.364,We have visual on a possible high-value target.
00:01:13.407,00:01:20.706,"Thor, this is Valhalla. We're seeking positive ID on target traveling in convoy and we're pushing more assets your way."
00:01:21.999,00:01:24.376,Contact Loki on secondary net.
00:01:25.252,00:01:27.128,"Loki, this is Thor."
00:01:27.337,00:01:35.012,Target is located at grid coordinates two-four-Tango-Kilo-Bravo one-two-four-five-six- seven-three-niner.
00:01:35.094,00:01:36.346,Confirm you have visual.
00:01:40.308,00:01:41.351,Confirming target.
00:02:05.125,00:02:06.209,Stand by for audio.
00:02:09.504,00:02:13.425,"Now, don't tell me you spotted the beard in the middle of a goddamn sandstorm."
00:02:13.508,00:02:14.593,Is it really him?
00:02:14.885,00:02:16.720,"We're confirming that now, sir."
00:02:16.804,00:02:19.139,"Sir, audio is coming up now. Verifying voice pattern match."
00:02:19.222,00:02:20.390,"What do we have here, Sergeant?"
00:02:22.101,00:02:27.439,"Four males. One of them is speaking in a Rakhshani dialect, consistent with our intel on Al-Khoei."
00:02:32.694,00:02:36.239,Thirty-seven percent and probable don't belong in the same sentence.
00:02:36.323,00:02:38.117,I'm not taking this to the President.
00:02:41.161,00:02:42.871,based on reliable intel from the Brits.
00:02:42.955,00:02:43.956,They're pulling off the highway.
00:03:04.852,00:03:08.730,"If it's him, this guy comes out of hiding every couple of years at best."
00:03:18.323,00:03:20.199,"This is a training camp, Mr. Secretary."
00:03:23.662,00:03:24.705,Abort rec still holds.
00:03:27.082,00:03:28.625,"What do you suggest we do, sir?"
00:03:31.003,00:03:32.420,Is that a weapons cache?
00:03:32.504,00:03:36.257,"Sir, the placement of the stones around the pit, marker for the five pillars of Islam."
00:03:36.466,00:03:37.592,I think it's a funeral.
00:03:38.010,00:03:39.136,For Christ's sake.
00:03:39.720,00:03:42.931,"Counsel, how many ways would this violate the Geneva Convention?"
00:03:43.849,00:03:45.017,We can invoke hors de combat.
00:03:47.519,00:03:48.937,"that this is, in fact, a funeral."
00:03:49.021,00:03:52.107,"Signal's got the President from Air Force One, sir."
00:04:00.657,00:04:05.787,"Mr. President, we have a 51% identity match on Majid al-Khoei."
00:04:05.871,00:04:09.541,"The bad news is, there's some possibility he's at a funeral."
00:04:09.624,00:04:12.502,You should also be aware we have an abort recommendation.
00:04:13.461,00:04:15.672,But the Joint Chiefs are urging a go.
00:04:24.806,00:04:30.104,"Sir, we measure success by the least amount of collateral damage."
00:04:30.187,00:04:34.524,"At 51% probability, the risk is too high."
00:04:38.028,00:04:39.947,I'm putting our people at risk.
00:04:41.364,00:04:42.866,You have a go.
00:04:46.327,00:04:48.038,"Thank you, Mr. President."
00:04:54.962,00:04:56.296,"Loki, you are cleared to engage."
00:05:00.675,00:05:02.094,"Loki, target coordinates received."
00:05:02.177,00:05:04.054,"Yes, sir. Switching to IR sensor."
00:05:16.942,00:05:18.152,Master arm on.
00:05:18.652,00:05:19.653,Missiles away.
00:05:48.682,00:05:50.184,"You got to make a choice, fellas."
00:05:51.601,00:05:55.772,Who are you going to be? Boys or men?
00:05:59.358,00:06:00.319,I'm out on this one.
00:06:00.401,00:06:01.236,Why?
00:06:01.320,00:06:02.237,'Cause I'm broke.
00:06:02.403,00:06:03.488,Come...
00:06:03.571,00:06:05.157,How do I know you don't have something great under there?
00:06:05.240,00:06:06.074,Kwame just paired the board.
00:06:06.158,00:06:07.701,I'm floating on the river here. Look at the table.
00:06:07.784,00:06:09.870,I don't know. I'm supposed to take my girl out later.
00:06:09.953,00:06:10.829,It's a lot of money.
00:06:10.912,00:06:13.165,Your girl out? Who's that?
00:06:14.166,00:06:15.292,-Elaine? -Yeah.
00:06:15.750,00:06:17.336,You guys have been going out for a while.
00:06:17.961,00:06:19.296,How long?
00:06:19.504,00:06:20.421,Couple months.
00:06:20.505,00:06:21.715,Couple months? Wow.
00:06:21.798,00:06:23.133,That's big. You have sex with her yet?
00:06:24.092,00:06:25.135,Kinda.
00:06:27.888,00:06:29.639,Let me ask you a question. What are you going to do tonight?
00:06:30.140,00:06:31.058,Fish fillet and a Coke?
00:06:31.141,00:06:34.644,"Go to Blockbuster, rent a little romantic comedy, go back to Mom's house, sit on the couch?"
00:06:34.728,00:06:35.979,"-How'd you know? -Well, that's what you do."
00:06:36.063,00:06:37.772,You're a dependable person. That's what you're going to do.
00:06:37.856,00:06:39.233,-You know what you should do? -Hmm?
00:06:39.691,00:06:41.985,You need to lay down some real green and treat your lady right.
00:06:42.069,00:06:43.987,"You know, you need to take her to a nice place."
00:06:44.071,00:06:47.115,Red Lobster. Olive Garden. Tablecloths. Soft music.
00:06:47.241,00:06:48.742,And then you skip this Blockbuster thing.
00:06:49.368,00:06:50.244,Girls want to go out.
00:06:50.327,00:06:51.953,"Especially a girl as cute as your girl, you know?"
00:06:52.329,00:06:54.331,She wants to be seen. That's why she dresses up.
00:06:54.581,00:06:55.999,So you take her to the movies.
00:06:56.083,00:06:57.751,-A little popcorn-drink combo. -True. True.
00:06:57.834,00:07:00.921,"Elaine might want a hot dog and some nachos, so you shell out for that, too."
00:07:01.004,00:07:04.758,"And then before you know it, she's cozying up the way she never would've at her mom's house, you know?"
00:07:04.841,00:07:06.301,"-Preach it. Preach it. -Now all of a sudden, look."
00:07:06.509,00:07:10.430,"Gino Romero's walking tall with Elaine yank-my-Dickinson, all because he dared to dream tonight."
00:07:10.513,00:07:11.681,-Yes! Yes! Yes! -And he became a man.
00:07:11.765,00:07:12.599,-And that's the choice. -Yes.
00:07:12.682,00:07:15.018,And that's what's on the table. This is the dream right here.
00:07:16.353,00:07:17.478,Are you a man?
00:07:17.854,00:07:19.231,"-I'm with you. -Okay, here we go."
00:07:19.314,00:07:20.523,-I'm with you. 20? -20.
00:07:20.607,00:07:21.566,Big boy game.
00:07:24.152,00:07:25.112,"Cowboys over aces, big Jer."
00:07:26.196,00:07:27.072,Wow. Wow.
00:07:27.155,00:07:28.031,"-Didn't see that coming, huh? -Yeah, that's a tough one."
00:07:28.115,00:07:30.367,"This is a tough one, too. Four bullets, baby."
00:07:30.450,00:07:31.368,Get out of here!
00:07:31.451,00:07:33.328,"You baited me into that, Jer. Come on!"
00:07:33.412,00:07:34.246,That's the way it goes.
00:07:34.329,00:07:35.205,So what happened to Red Lobster?
00:07:35.289,00:07:36.831,"No, I guess it's Mama's house for you tonight."
00:07:36.915,00:07:38.166,"But look, I saved you 40 bucks."
00:07:38.250,00:07:40.419,And now Elaine won't have to shell out for herpes medication.
00:07:41.753,00:07:42.879,"Break's over, bitches."
00:07:43.130,00:07:44.256,Freitag missed his shift again.
00:07:45.548,00:07:49.344,"All right, well, gentlemen, I'll give you a chance to win some of this back tomorrow."
00:07:49.428,00:07:50.470,Enjoy yourselves.
00:07:57.144,00:08:00.272,Hey there. Welcome to Copy Cabana. How can I help you?
00:08:00.355,00:08:02.232,I couldn't get the machine past the main menu.
00:08:02.316,00:08:03.858,-That machine there? -Yeah.
00:08:03.942,00:08:05.944,"Did you swipe your credit card to the left, sir?"
00:08:06.027,00:08:07.779,"-Didn't do that. -Well, that's your problem."
00:08:07.862,00:08:09.072,Why don't you try it again?
00:08:19.499,00:08:21.335,"Cell phone users, beware."
00:08:21.418,00:08:27.924,"The Federal Bureau of Investigation can now hear everything you're saying, even when your cell phone is turned off."
00:08:28.008,00:08:34.681,"Authorities can now activate the microphone inside your phone, allowing them to eavesdrop on you and your conversations."
00:08:34.764,00:08:39.727,Experts say the only way around this is to take the battery out of the device.
00:08:43.482,00:08:44.441,-Stand clear of the doors. -Excuse me.
00:08:44.524,00:08:45.775,"Watch your step, please."
00:08:52.073,00:08:53.033,Yes.
00:08:53.950,00:08:55.369,"It's hard to do on a train, you know!"
00:08:57.371,00:08:58.579,Standing passengers...
00:09:00.665,00:09:02.167,"Come on, come on, come on, come on."
00:09:45.710,00:09:47.295,Jerry?
00:09:47.379,00:09:49.464,Mrs. Wierzbowski! I was just...
00:09:49.548,00:09:50.882,I thought you might have been sleeping.
00:09:50.965,00:09:52.342,"-Yeah, yeah, yeah. -So... But I have..."
00:09:52.426,00:09:54.553,I have some rent here. Here you go.
00:09:54.635,00:09:56.596,"Yeah, some is good. All is better."
00:09:56.679,00:09:58.515,"Well, that's most of it. Here."
00:09:58.598,00:09:59.974,"$1, $1, $1..."
00:10:00.058,00:10:01.642,"No, no, no. Look. Here's a five there."
00:10:01.726,00:10:02.936,-Five. -Yeah.
00:10:03.978,00:10:05.939,Where is girl? I don't see her no more.
00:10:06.022,00:10:07.941,You know you're the only woman for me.
00:10:08.024,00:10:09.568,"No, that's done. She got smart."
00:10:10.693,00:10:11.570,Like the others.
00:10:11.652,00:10:12.862,Yeah. Yeah.
00:10:12.946,00:10:14.948,Is woman friend? Answer.
00:10:15.115,00:10:17.242,Then see if she give you money for rent.
00:10:18.368,00:10:19.494,One second.
00:10:21.996,00:10:22.914,"Hey, Mom."
00:10:26.042,00:10:27.085,What?
00:10:55.363,00:10:56.739,I'm not him.
00:12:36.839,00:12:39.092,"Six months without a boo or a bah, huh?"
00:12:39.800,00:12:40.927,"Yes, sir."
00:12:41.386,00:12:43.304,So where were you this time?
00:12:44.931,00:12:49.310,Alaska. Singapore. I got a job there.
00:12:52.522,00:12:55.774,I... I spoke to Stanford.
00:12:56.901,00:12:58.986,I pulled some strings. They said they'd take you back.
00:12:59.070,00:13:00.863,"-Even though you took off... -Two years ago, Dad."
